"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Diaper","2023-10-30 15:32",,,,,"Poo:medium",
"Feed","2023-10-30 14:54",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-30 13:05","2023-10-30 14:33","01:28",,,,
"Solids","2023-10-30 12:10",,,"Peanut butter, oatmeal","Solids",,"included 35oz of formula"
"Feed","2023-10-30 11:08",,,"Formula","Bottle","6.32oz",
"Sleep","2023-10-30 09:05","2023-10-30 11:02","01:56",,,,
"Feed","2023-10-30 07:31",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-29 19:57","2023-10-30 07:24","11:27",,,,
"Diaper","2023-10-29 19:10",,,,,"Poo:small",
"Solids","2023-10-29 18:45",,,"Oatmeal","Solids",,
"Feed","2023-10-29 18:08",,,"Formula","Bottle","5.5oz","Another 1 ounce in oatmeal and 0.5 in sippy cup "
"Sleep","2023-10-29 17:03","2023-10-29 17:35","00:32",,,,
"Diaper","2023-10-29 15:41",,,,,"Poo:medium",
"Feed","2023-10-29 15:00",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-29 13:05","2023-10-29 14:50","01:45",,,,
"Solids","2023-10-29 12:10",,,"Carrot, egg, broccoli","Solids",,
"Diaper","2023-10-29 11:54",,,,,"Poo:large",
"Feed","2023-10-29 11:08",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-29 08:56","2023-10-29 10:54","01:58",,,,
"Feed","2023-10-29 07:28",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-28 20:05","2023-10-29 07:24","11:19",,,,
"Diaper","2023-10-28 18:55",,,,,"Poo:large",
"Feed","2023-10-28 18:11",,,"Formula","Bottle","7.75oz",
"Sleep","2023-10-28 17:03","2023-10-28 17:35","00:32",,,,
"Feed","2023-10-28 14:57",,,"Formula","Bottle","5.98oz",
"Sleep","2023-10-28 12:53","2023-10-28 14:51","01:58",,,,
"Solids","2023-10-28 12:05",,,"Carrot, egg, squash","Solids",,
"Diaper","2023-10-28 11:40",,,,,"Poo:large",
"Feed","2023-10-28 10:56",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-28 09:10","2023-10-28 10:46","01:35",,,,
"Feed","2023-10-28 07:30",,,"Formula","Bottle","6.32oz",
"Sleep","2023-10-27 19:40","2023-10-28 07:24","11:44",,,,
"Diaper","2023-10-27 18:50",,,,,"Poo:large",
"Feed","2023-10-27 18:15",,,"Formula","Bottle","5.25oz",
"Sleep","2023-10-27 17:01","2023-10-27 17:32","00:31",,,,
"Feed","2023-10-27 15:01",,,"Formula","Bottle","6.5oz",
"Sleep","2023-10-27 12:54","2023-10-27 14:44","01:50",,,,
"Solids","2023-10-27 12:10",,,"Squash","Solids",,
"Diaper","2023-10-27 11:55",,,,,"Poo:medium",
"Feed","2023-10-27 11:08",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-27 09:05","2023-10-27 10:59","01:54",,,,
"Feed","2023-10-27 07:28",,,"Formula","Bottle","6.66oz",
"Sleep","2023-10-26 19:55","2023-10-27 07:20","11:25",,,,
"Feed","2023-10-26 18:08",,,"Formula","Bottle","6.5oz",
"Sleep","2023-10-26 17:05","2023-10-26 17:35","00:30",,,,
"Feed","2023-10-26 15:03",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-26 13:06","2023-10-26 14:50","01:44",,,,
"Solids","2023-10-26 12:20",,,"Avocado, apple, raspberry, oatmeal","Solids",,
"Diaper","2023-10-26 11:50",,,,,"Poo:large",
"Feed","2023-10-26 11:17",,,"Formula","Bottle","5.82oz","Additional 30oz not counted fed through oatmeal"
"Sleep","2023-10-26 09:15","2023-10-26 10:56","01:41",,,,
"Feed","2023-10-26 07:34",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-25 19:50","2023-10-26 07:25","11:35",,,,
"Solids","2023-10-25 18:45",,,"Avocado, apple, raspberry, oatmeal","Solids",,
"Feed","2023-10-25 18:11",,,"Formula","Bottle","5.75oz","Had an additional ounce mixed in oatmeal "
"Sleep","2023-10-25 17:05","2023-10-25 17:36","00:31",,,,
"Feed","2023-10-25 15:03",,,"Formula","Bottle","7.34oz",
"Sleep","2023-10-25 12:56","2023-10-25 14:52","01:56",,,,
"Solids","2023-10-25 12:20",,,"Avocado, apple, raspberry","Solids",,
"Feed","2023-10-25 11:15",,,"Formula","Bottle","5.82oz",
"Sleep","2023-10-25 09:15","2023-10-25 10:53","01:38",,,,
"Feed","2023-10-25 07:36",,,"Formula","Bottle","6.15oz",
"Sleep","2023-10-24 19:52","2023-10-25 07:26","11:33",,,,
"Diaper","2023-10-24 18:57",,,,,"Poo:large",
"Feed","2023-10-24 18:10",,,"Formula","Bottle","7.4oz",
"Sleep","2023-10-24 17:06","2023-10-24 17:35","00:29",,,,
"Feed","2023-10-24 15:01",,,"Formula","Bottle","6.66oz",
"Sleep","2023-10-24 13:25","2023-10-24 14:48","01:23",,,,
"Diaper","2023-10-24 12:54",,,,,"Poo:large",
"Feed","2023-10-24 11:30",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-24 09:23","2023-10-24 11:20","01:57",,,,
"Feed","2023-10-24 07:37",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-23 19:51","2023-10-24 07:30","11:39",,,,
"Feed","2023-10-23 17:52",,,"Formula","Bottle","6oz",
"Sleep","2023-10-23 16:15","2023-10-23 17:28","01:13",,,,
"Feed","2023-10-23 14:23",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-23 12:36","2023-10-23 13:51","01:15",,,,
"Feed","2023-10-23 10:40",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-23 09:11","2023-10-23 10:29","01:18",,,,
"Feed","2023-10-23 07:30",,,"Formula","Bottle","4oz",
"Sleep","2023-10-22 19:29","2023-10-23 07:24","11:55",,,,
"Diaper","2023-10-22 18:37",,,,,"Poo:medium",
"Feed","2023-10-22 17:40",,,"Formula","Bottle","5.82oz",
"Sleep","2023-10-22 16:43","2023-10-22 17:23","00:40",,,,
"Feed","2023-10-22 14:40",,,"Formula","Bottle","6.83oz",
"Sleep","2023-10-22 12:51","2023-10-22 14:25","01:34",,,,
"Feed","2023-10-22 10:56",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-22 09:05","2023-10-22 10:47","01:42",,,,
"Feed","2023-10-22 07:29",,,"Formula","Bottle","5.82oz",
"Sleep","2023-10-21 19:48","2023-10-22 07:26","11:37",,,,
"Diaper","2023-10-21 18:45",,,,,"Poo:large",
"Feed","2023-10-21 18:05",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-21 17:05","2023-10-21 17:35","00:30",,,,
"Diaper","2023-10-21 16:00",,,,,"Poo",
"Feed","2023-10-21 15:10",,,"Formula","Bottle","6.15oz",
"Sleep","2023-10-21 12:55","2023-10-21 14:55","02:00",,,,
"Feed","2023-10-21 11:02",,,"Formula","Bottle","6oz",
"Sleep","2023-10-21 09:10","2023-10-21 10:54","01:44",,,,
"Feed","2023-10-21 07:32",,,"Formula","Bottle","5oz",
"Sleep","2023-10-20 20:05","2023-10-21 07:25","11:20",,,,
"Diaper","2023-10-20 19:00",,,,,"Poo:large",
"Solids","2023-10-20 19:00",,,"Oatmeal","Solids",,
"Feed","2023-10-20 18:31",,,"Formula","Bottle","7.25oz",
"Sleep","2023-10-20 17:04","2023-10-20 17:35","00:31",,,,
"Feed","2023-10-20 15:06",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-20 13:13","2023-10-20 14:52","01:39",,,,
"Solids","2023-10-20 12:15",,,"Banana, cinnamon, egg, granola","Solids",,
"Feed","2023-10-20 11:15",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-20 09:09","2023-10-20 11:09","02:00",,,,
"Feed","2023-10-20 07:31",,,"Formula","Bottle","4.5oz",
"Sleep","2023-10-19 19:56","2023-10-20 07:25","11:29",,,,"Cried for 20 min before sleep "
"Feed","2023-10-19 18:11",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-19 16:47","2023-10-19 17:28","00:41",,,,
"Diaper","2023-10-19 15:36",,,,,"Poo:large",
"Feed","2023-10-19 14:52",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-19 13:01","2023-10-19 14:35","01:34",,,,
"Solids","2023-10-19 12:15",,,"Mango, sweet potato","Solids",,
"Feed","2023-10-19 11:13",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-19 09:17","2023-10-19 10:56","01:39",,,,
"Feed","2023-10-19 07:31",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-18 20:17","2023-10-19 07:26","11:08",,,,"Cried for 20 min for sleep"
"Feed","2023-10-18 18:31",,,"Formula","Bottle","7oz",
"Sleep","2023-10-18 17:23","2023-10-18 17:53","00:30",,,,
"Diaper","2023-10-18 16:45",,,,,"Poo:small",
"Feed","2023-10-18 15:02",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-18 12:59","2023-10-18 14:50","01:51",,,,
"Feed","2023-10-18 11:04",,,"Formula","Bottle","6oz",
"Sleep","2023-10-18 09:08","2023-10-18 10:50","01:42",,,,
"Feed","2023-10-18 07:33",,,"Formula","Bottle","7.34oz",
"Sleep","2023-10-17 20:15","2023-10-18 07:27","11:12",,,,"Fussed for a while before sleep"
"Feed","2023-10-17 18:15",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-17 17:07","2023-10-17 17:48","00:41",,,,
"Feed","2023-10-17 14:57",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-17 12:55","2023-10-17 14:48","01:53",,,,
"Diaper","2023-10-17 12:43",,,,,"Poo:large",
"Solids","2023-10-17 12:10",,,"Pumpkin","Solids",,
"Feed","2023-10-17 11:02",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-17 09:14","2023-10-17 10:46","01:32",,,,
"Feed","2023-10-17 07:28",,,"Formula","Bottle","6.32oz",
"Sleep","2023-10-16 19:55","2023-10-17 07:23","11:28",,,,
"Diaper","2023-10-16 19:00",,,,,"Pee:large",
"Diaper","2023-10-16 18:37",,,,,"Poo:large",
"Feed","2023-10-16 17:56",,,"Formula","Bottle","7.75oz",
"Sleep","2023-10-16 16:42","2023-10-16 17:49","01:07",,,,
"Feed","2023-10-16 14:48",,,"Formula","Bottle","6.32oz",
"Sleep","2023-10-16 12:44","2023-10-16 14:30","01:46",,,,
"Feed","2023-10-16 11:07",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-16 09:11","2023-10-16 10:46","01:35",,,,
"Solids","2023-10-16 08:00",,,"Oatmeal","Solids",,
"Feed","2023-10-16 07:33",,,"Formula","Bottle","6.25oz","Ate 5.5 from bottle. Used another 0.75 for oatmeal "
"Sleep","2023-10-15 19:25","2023-10-16 07:29","12:04",,,,
"Diaper","2023-10-15 18:48",,,,,"Poo:large",
"Feed","2023-10-15 18:03",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-15 16:43","2023-10-15 17:23","00:40",,,,
"Diaper","2023-10-15 15:25",,,,,"Poo:small",
"Feed","2023-10-15 14:40",,,"Formula","Bottle","7.25oz",
"Sleep","2023-10-15 12:40","2023-10-15 14:37","01:57",,,,
"Solids","2023-10-15 12:00",,,"Banana, oatmeal","Solids",,
"Feed","2023-10-15 11:00",,,"Formula","Bottle","6.66oz",
"Sleep","2023-10-15 09:18","2023-10-15 10:46","01:28",,,,
"Diaper","2023-10-15 08:10",,,,,"Poo:large",
"Feed","2023-10-15 07:34",,,"Formula","Bottle","6.83oz",
"Sleep","2023-10-14 19:50","2023-10-15 07:28","11:37",,,,
"Feed","2023-10-14 18:43",,,"Formula","Bottle","6.9oz",
"Sleep","2023-10-14 17:00","2023-10-14 17:49","00:49",,,,
"Solids","2023-10-14 16:00",,,"Apple","Solids",,
"Diaper","2023-10-14 15:35",,,,,"Poo:large",
"Feed","2023-10-14 14:55",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-14 13:05","2023-10-14 14:50","01:44",,,,
"Solids","2023-10-14 12:14",,,"Blueberry, squash","Solids",,
"Feed","2023-10-14 11:09",,,"Formula","Bottle","7.34oz",
"Sleep","2023-10-14 09:05","2023-10-14 11:05","02:00",,,,
"Feed","2023-10-14 07:29",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-13 20:05","2023-10-14 07:23","11:18",,,,
"Diaper","2023-10-13 19:10",,,,,"Poo:medium",
"Feed","2023-10-13 18:37",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-13 17:10","2023-10-13 18:06","00:56",,,,
"Diaper","2023-10-13 15:34",,,,,"Poo:medium",
"Feed","2023-10-13 15:04",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-13 13:00","2023-10-13 14:59","01:59",,,,
"Feed","2023-10-13 11:02",,,"Formula","Bottle","6.15oz",
"Sleep","2023-10-13 09:10","2023-10-13 10:50","01:40",,,,
"Diaper","2023-10-13 08:04",,,,,"Poo:small",
"Feed","2023-10-13 07:31",,,"Formula","Bottle","6.15oz",
"Sleep","2023-10-12 19:55","2023-10-13 07:28","11:33",,,,
"Feed","2023-10-12 17:55",,,"Formula","Bottle","7.34oz",
"Sleep","2023-10-12 16:38","2023-10-12 17:31","00:53",,,,
"Feed","2023-10-12 14:40",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-12 12:46","2023-10-12 14:27","01:41",,,,
"Diaper","2023-10-12 12:05",,,,,"Poo:medium",
"Feed","2023-10-12 11:01",,,"Formula","Bottle","4.8oz",
"Sleep","2023-10-12 09:11","2023-10-12 10:48","01:36",,,,
"Feed","2023-10-12 07:32",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-11 19:45","2023-10-12 07:26","11:41",,,,
"Diaper","2023-10-11 18:45",,,,,"Poo:large",
"Feed","2023-10-11 17:55",,,"Formula","Bottle","7.25oz","Took last 2 ounces 1.5 hrs later "
"Sleep","2023-10-11 16:53","2023-10-11 17:36","00:43",,,,
"Feed","2023-10-11 14:37",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-11 12:45","2023-10-11 14:28","01:43",,,,
"Diaper","2023-10-11 11:40",,,,,"Poo:medium",
"Feed","2023-10-11 10:59",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-11 09:15","2023-10-11 10:46","01:31",,,,
"Feed","2023-10-11 07:32",,,"Formula","Bottle","7.17oz",
"Sleep","2023-10-10 19:48","2023-10-11 07:24","11:36",,,,
"Diaper","2023-10-10 18:37",,,,,"Poo:large",
"Feed","2023-10-10 17:56",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-10 16:58","2023-10-10 17:34","00:36",,,,
"Feed","2023-10-10 14:52",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-10 12:40","2023-10-10 14:43","02:03",,,,
"Feed","2023-10-10 10:55",,,"Formula","Bottle","6.15oz",
"Sleep","2023-10-10 08:55","2023-10-10 10:38","01:43",,,,
"Feed","2023-10-10 07:34",,,"Formula","Bottle","7.5oz","Fed an hour apart 5oz at 7:34 and 2.5 oz at 8:30\n\nSpit up a bit soon after the 2nd feed "
"Sleep","2023-10-09 19:28","2023-10-10 07:29","12:01",,,,
"Feed","2023-10-09 17:46",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-09 16:43","2023-10-09 17:25","00:42",,,,
"Diaper","2023-10-09 15:30",,,,,"Poo:small",
"Feed","2023-10-09 14:38",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-09 12:40","2023-10-09 14:26","01:46",,,,
"Diaper","2023-10-09 11:40",,,,,"Poo:large",
"Feed","2023-10-09 11:04",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-09 09:05","2023-10-09 10:45","01:40",,,,
"Feed","2023-10-09 07:30",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-08 19:44","2023-10-09 07:23","11:39",,,,
"Diaper","2023-10-08 18:45",,,,,"Poo:medium",
"Feed","2023-10-08 18:08",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-08 17:05","2023-10-08 17:40","00:35",,,,
"Diaper","2023-10-08 16:38",,,,,"Poo:large",
"Feed","2023-10-08 15:04",,,"Formula","Bottle","6.5oz",
"Sleep","2023-10-08 13:17","2023-10-08 14:56","01:39",,,,
"Feed","2023-10-08 11:14",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-08 09:13","2023-10-08 11:07","01:54",,,,
"Feed","2023-10-08 07:32",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-07 19:55","2023-10-08 07:29","11:34",,,,
"Diaper","2023-10-07 19:10",,,,,"Poo:large",
"Feed","2023-10-07 18:32",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-07 17:30","2023-10-07 18:07","00:37",,,,
"Diaper","2023-10-07 15:45",,,,,"Poo:small",
"Feed","2023-10-07 15:29",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-07 13:29","2023-10-07 15:26","01:56",,,,
"Feed","2023-10-07 11:20",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-07 09:20","2023-10-07 11:16","01:56",,,,
"Diaper","2023-10-07 08:19",,,,,"Poo:large",
"Feed","2023-10-07 07:37",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-06 19:34","2023-10-07 07:29","11:55",,,,
"Feed","2023-10-06 18:27",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-06 16:57","2023-10-06 17:41","00:43",,,,
"Diaper","2023-10-06 16:26",,,,,"Poo:medium",
"Feed","2023-10-06 15:20",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-06 12:52","2023-10-06 15:09","02:16",,,,
"Feed","2023-10-06 11:02",,,"Formula","Bottle","7.5oz",
"Diaper","2023-10-06 10:58",,,,,"Poo:large",
"Sleep","2023-10-06 09:11","2023-10-06 10:52","01:40",,,,
"Feed","2023-10-06 07:34",,,"Formula","Bottle","7.3oz",
"Sleep","2023-10-05 19:45","2023-10-06 07:27","11:42",,,,
"Feed","2023-10-05 19:20",,,"Formula","Bottle","2.5oz",
"Feed","2023-10-05 18:00",,,"Formula","Bottle","5.5oz",
"Sleep","2023-10-05 16:50","2023-10-05 17:33","00:43",,,,
"Feed","2023-10-05 14:58",,,"Formula","Bottle","7oz",
"Sleep","2023-10-05 13:00","2023-10-05 14:39","01:39",,,,
"Feed","2023-10-05 11:13",,,"Formula","Bottle","7oz",
"Sleep","2023-10-05 09:06","2023-10-05 10:59","01:53",,,,
"Feed","2023-10-05 07:32",,,"Formula","Bottle","6.83oz",
"Sleep","2023-10-04 19:40","2023-10-05 07:26","11:46",,,,
"Diaper","2023-10-04 18:50",,,,,"Poo:medium",
"Feed","2023-10-04 18:10",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-04 17:09","2023-10-04 17:40","00:31",,,,
"Diaper","2023-10-04 16:53",,,,,"Poo:medium",
"Feed","2023-10-04 15:10",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-04 13:18","2023-10-04 15:02","01:43",,,,
"Feed","2023-10-04 11:13",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-04 09:13","2023-10-04 11:04","01:51",,,,
"Feed","2023-10-04 07:38",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-03 20:24","2023-10-04 07:30","11:06",,,,
"Feed","2023-10-03 17:50",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-03 16:46","2023-10-03 17:35","00:48",,,,
"Diaper","2023-10-03 15:30",,,,,"Poo:large",
"Feed","2023-10-03 14:44",,,"Formula","Bottle","7.5oz",
